Name,Collection,Top 1 Organism,Top 2 Organism,Top 3 Organism,Top 4 Organism,Top 5 Organism,Top 6 Organism,Top 7 Organism,Top 8 Organism,Top 9 Organism,Top 10 Organism,Top 11 Organism,Top 12 Organism,Top 13 Organism,Top 14 Organism,Top 15 Organism,Top 16 Organism,Top 17 Organism,Top 18 Organism,Top 19 Organism,Top 20 Organism,Top 21 Organism,Top 22 Organism,Top 23 Organism,Top 24 Organism,Top 25 Organism,Top 26 Organism,Top 27 Organism,Top 28 Organism,Top 29 Organism,Top 30 Organism,Top 31 Organism,Top 32 Organism,Top 33 Organism,Top 34 Organism,Top 35 Organism,Top 36 Organism,Top 37 Organism,Top 38 Organism,Top 39 Organism,Top 40 Organism,Top 41 Organism,Top 42 Organism,Top 43 Organism,Top 44 Organism,Top 45 Organism,Top 46 Organism,Top 47 Organism,Top 48 Organism,Top 49 Organism,Top 50 Organism,Top 51 Organism,Top 52 Organism,Top 53 Organism,Top 54 Organism,Top 55 Organism,Top 56 Organism,Top 57 Organism,Top 58 Organism,Top 59 Organism,Top 60 Organism,Top 61 Organism,Top 62 Organism,Top 63 Organism,Top 64 Organism,Top 65 Organism,Top 66 Organism,Top 67 Organism,Top 68 Organism,Top 69 Organism,Top 70 Organism,Top 71 Organism,Top 72 Organism,Top 73 Organism,Top 74 Organism,Top 75 Organism,Top 76 Organism,Top 77 Organism,Top 78 Organism,Top 79 Organism,Top 80 Organism,Top 81 Organism,Top 82 Organism,Top 83 Organism,Top 84 Organism,Top 85 Organism,Top 86 Organism,Top 87 Organism,Top 88 Organism,Top 89 Organism,Top 90 Organism,Top 91 Organism,Top 92 Organism,Top 93 Organism,Top 94 Organism,Top 95 Organism,Top 96 Organism,Top 97 Organism,Top 98 Organism,Top 99 Organism,Top 100 Organism
"Diabetes, Gestational",health_concerns,[102106] Collinsella (14.172464970395454) (abundance=0) (cdf=0),[2630086] unclassified Veillonella (-9.120754540019394) (abundance=0) (cdf=0),[201174] Actinomycetota (9.120754540019394) (abundance=0) (cdf=0),[2641626] unclassified Anaerotruncus (9.120754540019394) (abundance=0) (cdf=0),[872] Desulfovibrio (9.120754540019394) (abundance=0) (cdf=0),[2646395] unclassified Faecalibacterium (9.120754540019394) (abundance=0) (cdf=0),[32207] Rothia (7.665773527297428) (abundance=0) (cdf=0),[853] Faecalibacterium prausnitzii (-3.8122317199183673) (abundance=0) (cdf=0),[1678] Bifidobacterium (-3.4734375628836123) (abundance=0) (cdf=0),[68892] Streptococcus infantis (3.2924156622373126) (abundance=0) (cdf=0),[40518] Ruminococcus bromii (3.2924156622373126) (abundance=0) (cdf=0),[57723] Acidobacteriota (3.0653701660566535) (abundance=0) (cdf=0),[186928] unclassified Lachnospiraceae (-2.9231255285055453) (abundance=0) (cdf=0),[363265] Leyella stercorea (-2.6076905293407053) (abundance=0) (cdf=0),[216851] Faecalibacterium (-2.6076905293407053) (abundance=0) (cdf=0),[165179] Segatella copri (-2.6076905293407053) (abundance=0) (cdf=0),[39492] [Eubacterium] siraeum (-2.6076905293407053) (abundance=0) (cdf=0),[838] Prevotella (-2.6076905293407053) (abundance=0) (cdf=0),[387090] Phocaeicola coprophilus (-2.6076905293407053) (abundance=0) (cdf=0),[1588752] unclassified Coriobacteriales (-2.279507347971926) (abundance=0) (cdf=0),[33039] [Ruminococcus] torques (2.08684566959722) (abundance=0) (cdf=0),[39488] Anaerobutyricum hallii (2.08684566959722) (abundance=0) (cdf=0),[33038] Mediterraneibacter gnavus (2.08684566959722) (abundance=0) (cdf=0),[1263] Ruminococcus (2.08684566959722) (abundance=0) (cdf=0),[572511] Blautia (1.785606113187091) (abundance=0) (cdf=0),[36835] [Clostridium] colinum (1.6557174485793873) (abundance=0) (cdf=0),[216572] Oscillospiraceae (-1.5148700879429733) (abundance=0) (cdf=0),[186803] Lachnospiraceae (1.5148700879429733) (abundance=0) (cdf=0),[1654] Actinomyces (-1.4549810127219662) (abundance=0) (cdf=0),[31977] Veillonellaceae (1.4549810127219662) (abundance=0) (cdf=0),[447020] Adlercreutzia (-1.4549810127219662) (abundance=0) (cdf=0),[84107] Coriobacteriaceae (-1.4549810127219662) (abundance=0) (cdf=0),[515620] Lachnospira eligens ATCC 27750 (-1.4247491109749333) (abundance=0) (cdf=0),[1432051] Eisenbergiella (1.4247491109749333) (abundance=0) (cdf=0),[1301] Streptococcus (-1.4031493387630434) (abundance=0) (cdf=0),[724] Haemophilus (1.3100842113879148) (abundance=0) (cdf=0),[1236] Gammaproteobacteria (1.3100842113879148) (abundance=0) (cdf=0),[1578] Lactobacillus (-1.2070937179732986) (abundance=0) (cdf=0),[841] Roseburia (-1.204541190577662) (abundance=0) (cdf=0),[209879] Allisonella (1.1126023885984762) (abundance=0) (cdf=0),[1485] Clostridium (1.1126023885984762) (abundance=0) (cdf=0),[397864] Barnesiella (-1.1126023885984762) (abundance=0) (cdf=0),[904] Acidaminococcus (1.1126023885984762) (abundance=0) (cdf=0),[1350] Enterococcus (1.037025223315563) (abundance=0) (cdf=0),[171552] Prevotellaceae (-1.037025223315563) (abundance=0) (cdf=0),[203491] Fusobacteriales (-1.037025223315563) (abundance=0) (cdf=0),[40544] Sutterella (-1.037025223315563) (abundance=0) (cdf=0),[823] Parabacteroides distasonis (1.0002557829170602) (abundance=0) (cdf=0),[3100185] unclassified Eubacterium (-1.0002557829170602) (abundance=0) (cdf=0),[2608897] unclassified Bifidobacterium (-1.0002557829170602) (abundance=0) (cdf=0),[2608932] unclassified Alistipes (-1.0002557829170602) (abundance=0) (cdf=0),[2173] Methanobrevibacter smithii (-1.0002557829170602) (abundance=0) (cdf=0),[244366] Klebsiella variicola (1.0002557829170602) (abundance=0) (cdf=0),[375288] Parabacteroides (-0.613386278786586) (abundance=0) (cdf=0),[906] Megasphaera (-0.31214672237645713) (abundance=0) (cdf=0),[543] Enterobacteriaceae (-0.05988907522100696) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breast Neoplasms,health_concerns,[562] Escherichia coli (182.22693575516652) (abundance=0) (cdf=0),[1203556] Actinomyces sp. HPA0247 (182.22693575516652) (abundance=0) (cdf=0),[1633] Limosilactobacillus vaginalis (-182.22693575516652) (abundance=0) (cdf=0),[515620] Lachnospira eligens ATCC 27750 (-182.22693575516652) (abundance=0) (cdf=0),[1353] Enterococcus gallinarum (182.22693575516652) (abundance=0) (cdf=0),[552] Erwinia amylovora (182.22693575516652) (abundance=0) (cdf=0),[419005] Prevotella amnii (182.22693575516652) (abundance=0) (cdf=0),[24] Shewanella putrefaciens (182.22693575516652) (abundance=0) (cdf=0),[200643] Bacteroidia (-3.2114025681342837) (abundance=0) (cdf=0),[1224] Pseudomonadota (1.6195366074591069) (abundance=0) (cdf=0),[74201] Verrucomicrobiota (1.6195366074591069) (abundance=0) (cdf=0),[201174] Actinomycetota (1.6195366074591069) (abundance=0) (cdf=0),[1263] Ruminococcus (1.592044137654471) (abundance=0) (cdf=0),[1301] Streptococcus (-1.592044137654471) (abundance=0) (cdf=0),[239934] Akkermansia (-1.24437695195626) (abundance=0) (cdf=0),[1239] Bacillota (-0.027670646783929893) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fructose Digestion,health_concerns,[818] Bacteroides thetaiotaomicron (8763.05653770031) (abundance=0) (cdf=0),[817] Bacteroides fragilis (8763.05653770031) (abundance=0) (cdf=0),[47678] Bacteroides caccae (8758.744048455155) (abundance=0) (cdf=0),[821] Phocaeicola vulgatus (8758.744048455155) (abundance=0) (cdf=0),[28116] Bacteroides ovatus (8758.744048455155) (abundance=0) (cdf=0),[820] Bacteroides uniformis (8758.744048455155) (abundance=0) (cdf=0),[216816] Bifidobacterium longum (4.312489245153917) (abundance=0) (cdf=0),[39490] Eubacterium ramulus (1.2338368009017284) (abundance=0) (cdf=0),[853] Faecalibacterium prausnitzii (1.2338368009017284) (abundance=0) (cdf=0),[220714] Fructobacillus pseudoficulneus (1.1494011337487806) (abundance=0) (cdf=0),[1631] Fructobacillus fructosus (1.1494011337487806) (abundance=0) (cdf=0),[1591] Lactobacillus sp (1.1494011337487806) (abundance=0) (cdf=0),[148814] Apilactobacillus kunkeei (1.1494011337487806) (abundance=0) (cdf=0),[33964] Leuconostoc citreum (1.1171188851732623) (abundance=0) (cdf=0),[1870985] Arabiibacter massiliensis (1.0410156870918474) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroesophageal Reflux,health_concerns,[201174] Actinomycetota (-87.31636734256816) (abundance=0) (cdf=0),[2172] Methanobrevibacter (-87.31636734256816) (abundance=0) (cdf=0),[207244] Anaerostipes (87.31636734256816) (abundance=0) (cdf=0),[171550] Rikenellaceae (-49.38180365241499) (abundance=0) (cdf=0),[31953] Bifidobacteriaceae (-49.38180365241499) (abundance=0) (cdf=0),[85004] Bifidobacteriales (-49.38180365241499) (abundance=0) (cdf=0),[31969] Mollicutes (37.934563690153176) (abundance=0) (cdf=0),[544448] Mycoplasmatota (37.934563690153176) (abundance=0) (cdf=0),[338190] Nitrosopumilaceae (-2.00040896790771) (abundance=0) (cdf=0),[119045] Methylobacteriaceae (-2.00040896790771) (abundance=0) (cdf=0),[995019] Sutterellaceae (-2.00040896790771) (abundance=0) (cdf=0),[80864] Comamonadaceae (-2.00040896790771) (abundance=0) (cdf=0),[415002] Puniceicoccaceae (-2.00040896790771) (abundance=0) (cdf=0),[2012] Thermomonosporaceae (-2.00040896790771) (abundance=0) (cdf=0),[137] Spirochaetaceae (-2.00040896790771) (abundance=0) (cdf=0),[28256] Halomonadaceae (-2.00040896790771) (abundance=0) (cdf=0),[128827] Erysipelotrichaceae (-2.00040896790771) (abundance=0) (cdf=0),[85023] Microbacteriaceae (-2.00040896790771) (abundance=0) (cdf=0),[203557] Verrucomicrobiaceae (-2.00040896790771) (abundance=0) (cdf=0),[468] Moraxellaceae (-2.00040896790771) (abundance=0) (cdf=0),[189799] Tamarix nilotica (-2.00040896790771) (abundance=0) (cdf=0),[72275] Alteromonadaceae (-2.00040896790771) (abundance=0) (cdf=0),[712] Pasteurellaceae (-2.00040896790771) (abundance=0) (cdf=0),[641] Vibrionaceae (-2.00040896790771) (abundance=0) (cdf=0),[267889] Colwelliaceae (-2.00040896790771) (abundance=0) (cdf=0),[853] Faecalibacterium prausnitzii (1.8588508642220147) (abundance=0) (cdf=0),[49546] Flavobacteriaceae (1.000207713709321) (abundance=0) (cdf=0),[1300] Streptococcaceae (1.000207713709321) (abundance=0) (cdf=0),[909930] Acidaminococcaceae (1.000207713709321) (abundance=0) (cdf=0),[31977] Veillonellaceae (1.000207713709321) (abundance=0) (cdf=0),[1268] Micrococcaceae (1.000207713709321) (abundance=0) (cdf=0),[186804] Peptostreptococcaceae (1.0002012541983891) (abundance=0) (cdf=0),[815] Bacteroidaceae (1.0002012541983891) (abundance=0) (cdf=0),[51514] Dehalobacterium (-1.0001775343389296) (abundance=0) (cdf=0),[1263] Ruminococcus (1.0001775343389296) (abundance=0) (cdf=0),[84108] Slackia (-1.0001775343389296) (abundance=0) (cdf=0),[1309] Streptococcus mutans (-1.0001775343389296) (abundance=0) (cdf=0),[265975] Oribacterium (-1.0001775343389296) (abundance=0) (cdf=0),[191303] Turicibacter (-1.0001775343389296) (abundance=0) (cdf=0),[1760] Actinomycetes (1.0001775343389296) (abundance=0) (cdf=0),[117563] Granulicatella (1.0001775343389296) (abundance=0) (cdf=0),[1485] Clostridium (-1.0001775343389296) (abundance=0) (cdf=0),[1185408] Defluviitalea (-1.0001775343389296) (abundance=0) (cdf=0),[906] Megasphaera (1.0001775343389296) (abundance=0) (cdf=0),[216851] Faecalibacterium (-1.0001775343389296) (abundance=0) (cdf=0),[1301] Streptococcus (1.0001775343389296) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyperinsulinism,health_concerns,[102106] Collinsella (1.0) (abundance=0) (cdf=0),[84998] Coriobacteriia (1.0) (abundance=0) (cdf=0),[31969] Mollicutes (-1.0) (abundance=0) (cdf=0),[544448] Mycoplasmatota (-1.0) (abundance=0) (cdf=0),[201174] Actinomycetota (1.0) (abundance=0) (cdf=0),[84107] Coriobacteriaceae (1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Fitness,health_concerns,[85004] Bifidobacteriales (-1.805147934869854e+16) (abundance=0) (cdf=0),[186802] Eubacteriales (-1.805147934869854e+16) (abundance=0) (cdf=0),[397864] Barnesiella (-1.000244059811758) (abundance=0) (cdf=0),[171552] Prevotellaceae (-1.000244059811758) (abundance=0) (cdf=0),[838] Prevotella (-1.000244059811758) (abundance=0) (cdf=0),[487174] Barnesiella intestinihominis (-1.000244059811758) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hepatitis, Autoimmune",health_concerns,[1578] Lactobacillus (-1.0) (abundance=0) (cdf=0),[1678] Bifidobacterium (-1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdominal Pain,health_concerns,[171550] Rikenellaceae (5.05740910748005) (abundance=0) (cdf=0),[816] Bacteroides (4.338164439625491) (abundance=0) (cdf=0),[724] Haemophilus (4.32325745274983) (abundance=0) (cdf=0),[216572] Oscillospiraceae (3.9160748983180134) (abundance=0) (cdf=0),[838] Prevotella (-3.2916987267243787) (abundance=0) (cdf=0),[841] Roseburia (3.2050442423320353) (abundance=0) (cdf=0),[1654] Actinomyces (-3.184323878184579) (abundance=0) (cdf=0),[100883] Coprobacillus (3.184323878184579) (abundance=0) (cdf=0),[48736] Ralstonia (-3.184323878184579) (abundance=0) (cdf=0),[84108] Slackia (3.184323878184579) (abundance=0) (cdf=0),[255528] Victivallaceae (-3.184323878184579) (abundance=0) (cdf=0),[1357] Lactococcus (3.184323878184579) (abundance=0) (cdf=0),[84111] Eggerthella (-3.184323878184579) (abundance=0) (cdf=0),[84107] Coriobacteriaceae (-3.184323878184579) (abundance=0) (cdf=0),[216851] Faecalibacterium (2.5620161820771825) (abundance=0) (cdf=0),[186803] Lachnospiraceae (-2.12091486677439) (abundance=0) (cdf=0),[239934] Akkermansia (2.0429896690225426) (abundance=0) (cdf=0),[239759] Alistipes (2.0429896690225426) (abundance=0) (cdf=0),[128827] Erysipelotrichaceae (1.8730852292954707) (abundance=0) (cdf=0),[194924] Desulfovibrionaceae (1.8730852292954707) (abundance=0) (cdf=0),[990719] Christensenellaceae (1.8730852292954707) (abundance=0) (cdf=0),[995019] Sutterellaceae (1.8730852292954707) (abundance=0) (cdf=0),[2614128] unclassified Clostridium (-1.7612412706726477) (abundance=0) (cdf=0),[1263] Ruminococcus (1.7226693590905744) (abundance=0) (cdf=0),[2005519] Barnesiellaceae (1.7226693590905744) (abundance=0) (cdf=0),[135858] Catenibacterium (-1.7226693590905744) (abundance=0) (cdf=0),[47678] Bacteroides caccae (1.3550576092758464) (abundance=0) (cdf=0),[1239] Bacillota (-1.2990617630131278) (abundance=0) (cdf=0),[976] Bacteroidota (1.2990617630131278) (abundance=0) (cdf=0),[946234] Flavonifractor (1.2794730251895599) (abundance=0) (cdf=0),[292800] Flavonifractor plautii (1.2794730251895599) (abundance=0) (cdf=0),[547] Enterobacter (1.1410928893663548) (abundance=0) (cdf=0),[186802] Eubacteriales (1.1124046806055035) (abundance=0) (cdf=0),[375288] Parabacteroides (0.8834676925362221) (abundance=0) (cdf=0),[1578] Lactobacillus (-0.7539518942644672) (abundance=0) (cdf=0),[29465] Veillonella (-0.7539518942644672) (abundance=0) (cdf=0),[33043] Coprococcus eutactus (-0.7539518942644672) (abundance=0) (cdf=0),[74426] Collinsella aerofaciens (-0.7539518942644672) (abundance=0) (cdf=0),[33039] [Ruminococcus] torques (0.7539518942644672) (abundance=0) (cdf=0),[46228] [Ruminococcus] lactaris (-0.6753247955129695) (abundance=0) (cdf=0),[1678] Bifidobacterium (0.4514472809000049) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella Infections,health_concerns,[561] Escherichia (1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Osteoporosis, Postmenopausal",health_concerns,[2683241] unclassified Weissella (-23.829166173494592) (abundance=0) (cdf=0),[1609545] unclassified Mollicutes (-23.829166173494592) (abundance=0) (cdf=0),[1501226] Romboutsia (-23.829166173494592) (abundance=0) (cdf=0),[1506553] Lachnoclostridium (23.829166173494592) (abundance=0) (cdf=0),[1407607] Fusicatenibacter (23.829166173494592) (abundance=0) (cdf=0),[2638988] unclassified Megamonas (23.829166173494592) (abundance=0) (cdf=0),[838] Prevotella (-7.034863298306877) (abundance=0) (cdf=0),[239934] Akkermansia (-4.227976632482766) (abundance=0) (cdf=0),[239759] Alistipes (-4.227976632482766) (abundance=0) (cdf=0),[580596] Butyricicoccus (-4.227976632482766) (abundance=0) (cdf=0),[570] Klebsiella (4.227976632482766) (abundance=0) (cdf=0),[1578] Lactobacillus (-4.227976632482766) (abundance=0) (cdf=0),[816] Bacteroides (-1.7121598668091922) (abundance=0) (cdf=0),[547] Enterobacter (-1.1177386901835642) (abundance=0) (cdf=0),[33038] Mediterraneibacter gnavus (-1.1177386901835642) (abundance=0) (cdf=0),[29465] Veillonella (-1.1177386901835642) (abundance=0) (cdf=0),[848] Fusobacterium (-1.1177386901835642) (abundance=0) (cdf=0),[28050] Lachnospira (-1.1177386901835642) (abundance=0) (cdf=0),[375288] Parabacteroides (1.1177386901835642) (abundance=0) (cdf=0),[80840] Burkholderiales (-1.0454743210609396) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campylobacter Infections,health_concerns,[561] Escherichia (1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autism Spectrum Disorder,health_concerns,[1578] Lactobacillus (39.30661862309811) (abundance=0) (cdf=0),[102106] Collinsella (37.066972548761136) (abundance=0) (cdf=0),[1716] Corynebacterium (37.066972548761136) (abundance=0) (cdf=0),[189330] Dorea (36.363314550652085) (abundance=0) (cdf=0),[200643] Bacteroidia (-36.24772721183288) (abundance=0) (cdf=0),[29465] Veillonella (-25.05745419362689) (abundance=0) (cdf=0),[35832] Bilophila (-23.52737435109404) (abundance=0) (cdf=0),[239759] Alistipes (-23.52737435109404) (abundance=0) (cdf=0),[375288] Parabacteroides (-23.52737435109404) (abundance=0) (cdf=0),[39948] Dialister (-23.52737435109404) (abundance=0) (cdf=0),[1224] Pseudomonadota (2.9924124498699656) (abundance=0) (cdf=0),[428126] Thomasclavelia spiroformis DSM 1552 (-2.4745127567715386) (abundance=0) (cdf=0),[848] Fusobacterium (2.4745127567715386) (abundance=0) (cdf=0),[191303] Turicibacter (-2.4745127567715386) (abundance=0) (cdf=0),[577310] Parasutterella (-2.4745127567715386) (abundance=0) (cdf=0),[1297617] Intestinimonas butyriciproducens (-2.4745127567715386) (abundance=0) (cdf=0),[33042] Coprococcus (-2.41830631557703) (abundance=0) (cdf=0),[2608897] unclassified Bifidobacterium (-2.245538826530933) (abundance=0) (cdf=0),[91061] Bacilli (1.612518094497293) (abundance=0) (cdf=0),[1760] Actinomycetes (1.612518094497293) (abundance=0) (cdf=0),[526524] Erysipelotrichia (1.612518094497293) (abundance=0) (cdf=0),[201174] Actinomycetota (1.612518094497293) (abundance=0) (cdf=0),[1236] Gammaproteobacteria (1.612518094497293) (abundance=0) (cdf=0),[283168] Odoribacter (1.5300798425328488) (abundance=0) (cdf=0),[574697] Butyricimonas (1.5300798425328488) (abundance=0) (cdf=0),[1301] Streptococcus (-1.5300798425328488) (abundance=0) (cdf=0),[85004] Bifidobacteriales (-1.3769909690176043) (abundance=0) (cdf=0),[216816] Bifidobacterium longum (-1.3769909690176043) (abundance=0) (cdf=0),[946234] Flavonifractor (-1.333169812443517) (abundance=0) (cdf=0),[909930] Acidaminococcaceae (-1.333169812443517) (abundance=0) (cdf=0),[1506553] Lachnoclostridium (-1.333169812443517) (abundance=0) (cdf=0),[186928] unclassified Lachnospiraceae (-1.333169812443517) (abundance=0) (cdf=0),[1730] Eubacterium (-1.2836049033066337) (abundance=0) (cdf=0),[128827] Erysipelotrichaceae (-1.2836049033066337) (abundance=0) (cdf=0),[216572] Oscillospiraceae (-1.2836049033066337) (abundance=0) (cdf=0),[186803] Lachnospiraceae (-1.2836049033066337) (abundance=0) (cdf=0),[57723] Acidobacteriota (1.2836049033066337) (abundance=0) (cdf=0),[2614128] unclassified Clostridium (1.2702006271055137) (abundance=0) (cdf=0),[561] Escherichia (1.24880929361986) (abundance=0) (cdf=0),[724] Haemophilus (1.24880929361986) (abundance=0) (cdf=0),[838] Prevotella (-1.2207925911076483) (abundance=0) (cdf=0),[42214] unclassified Veillonellaceae (-1.2207925911076483) (abundance=0) (cdf=0),[44258] Caloramator (1.2143609387195577) (abundance=0) (cdf=0),[1678] Bifidobacterium (-1.2143609387195577) (abundance=0) (cdf=0),[1266] Sarcina (1.2143609387195577) (abundance=0) (cdf=0),[186806] Eubacteriaceae (-1.2143609387195577) (abundance=0) (cdf=0),[1485] Clostridium (1.2143609387195577) (abundance=0) (cdf=0),[216851] Faecalibacterium (-1.1975137244693819) (abundance=0) (cdf=0),[28100] Phyllobacterium (1.1800776443161254) (abundance=0) (cdf=0),[543] Enterobacteriaceae (1.1800776443161254) (abundance=0) (cdf=0),[2608929] unclassified Klebsiella (-1.1668628841918536) (abundance=0) (cdf=0),[853] Faecalibacterium prausnitzii (-1.114790986727461) (abundance=0) (cdf=0),[729] Haemophilus parainfluenzae (-1.114790986727461) (abundance=0) (cdf=0),[165179] Segatella copri (-1.114790986727461) (abundance=0) (cdf=0),[239935] Akkermansia muciniphila (-1.1114091539095348) (abundance=0) (cdf=0),[2620435] unclassified Lactobacillus (1.078675942339079) (abundance=0) (cdf=0),[31953] Bifidobacteriaceae (1.0000558666487116) (abundance=0) (cdf=0),[31977] Veillonellaceae (1.0000558666487116) (abundance=0) (cdf=0),[33958] Lactobacillaceae (1.0000558666487116) (abundance=0) (cdf=0),[40544] Sutterella (0.8264218444237951) (abundance=0) (cdf=0),[2593640] unclassified Desulfovibrio (0.8192453369282534) (abundance=0) (cdf=0),[821] Phocaeicola vulgatus (0.8192453369282534) (abundance=0) (cdf=0),[1239] Bacillota (-0.8192453369282534) (abundance=0) (cdf=0),[186802] Eubacteriales (0.7036579981090537) (abundance=0) (cdf=0),[572511] Blautia (-0.7036579981090537) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epilepsy,health_concerns,[216851] Faecalibacterium (-1.0) (abundance=0) (cdf=0),[207244] Anaerostipes (-1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psyllium Digestion,health_concerns,[815] Bacteroidaceae (1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
