Name,Collection,Type,Top 1 Organism,Top 2 Organism,Top 3 Organism,Top 4 Organism,Top 5 Organism,Top 6 Organism,Top 7 Organism,Top 8 Organism,Top 9 Organism,Top 10 Organism,Top 11 Organism,Top 12 Organism,Top 13 Organism,Top 14 Organism,Top 15 Organism,Top 16 Organism,Top 17 Organism,Top 18 Organism,Top 19 Organism,Top 20 Organism,Top 21 Organism,Top 22 Organism,Top 23 Organism,Top 24 Organism,Top 25 Organism,Top 26 Organism,Top 27 Organism,Top 28 Organism,Top 29 Organism,Top 30 Organism
Refined Grain Diet,diets,Type 2,[165179] Segatella copri (-0.1476),[818] Bacteroides thetaiotaomicron (0.1476),[853] Faecalibacterium prausnitzii (-0.1476),,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrates,diets,Type 2,[404402] Howardella (-0.0325),[841] Roseburia (0.0112),[1117] Cyanobacteriota (-0.0107),[95818] Candidatus Saccharibacteria (0.0107),[201174] Actinomycetota (0.0107),[200643] Bacteroidia (-0.0107),[1239] Bacillota (0.0107),[1224] Pseudomonadota (0.0107),[1263] Ruminococcus (0.0),[186802] Eubacteriales (0.0),[119852] Oscillospira (-0.0),[1678] Bifidobacterium (0.0),[1578] Lactobacillus (0.0),[33042] Coprococcus (0.0),[724] Haemophilus (0.0),,,,,,,,,,,,,,,
Beverages,diets,Type 2,[841] Roseburia (-0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuts,diets,Type 2,[301301] Roseburia hominis (0.1597),[1501226] Romboutsia (-0.0103),[515620] [Eubacterium] eligens ATCC 27750 (0.0103),[1414720] Clostridium saudiense (-0.0103),[561] Escherichia (0.0036),[35829] Acetivibrio (0.0001),[201174] Actinomycetota (0.0001),[2163168] Kineothrix (0.0001),[1924081] Bariatricus (0.0001),[1505657] Intestinibacter (-0.0001),[2005359] Faecalicatena (0.0001),[241189] Hespellia (0.0001),[1924093] Anaeromassilibacillus (0.0001),,,,,,,,,,,,,,,,,
Beetroot Juice,diets,Type 2,[1678] Bifidobacterium (0.0373),[1263] Ruminococcus (-0.0373),[33042] Coprococcus (0.0373),,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturated Fats,diets,Type 2,[1224] Pseudomonadota (-0.1018),[1263] Ruminococcus (-0.1018),[140625] Lachnobacterium (0.1018),[724] Haemophilus (0.0),[574697] Butyricimonas (-0.0),[29465] Veillonella (0.0),[375288] Parabacteroides (-0.0),[51514] Dehalobacterium (-0.0),,,,,,,,,,,,,,,,,,,,,,
Vitamin A Supplementation,diets,Type 2,[186803] Lachnospiraceae (0.0325),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raisin,diets,Type 2,[41200] Bifidobacterium sp. (-0.0079),[853] Faecalibacterium prausnitzii (0.0079),[576] Klebsiella sp. (-0.0079),[29523] Bacteroides sp. (0.0079),[59823] Prevotella sp. (-0.0079),[41978] Ruminococcus sp. (0.0079),,,,,,,,,,,,,,,,,,,,,,,,
Moderate-to-Vigorous Physical Activity,lifestyles,Type 2,[543] Enterobacteriaceae (-0.0088),[1737406] Tissierellaceae (-0.0088),[28050] Lachnospira (0.0088),[189330] Dorea (0.0088),[171549] Bacteroidales (0.0088),[91347] Enterobacterales (-0.0088),,,,,,,,,,,,,,,,,,,,,,,,
Moderate-Intensity Continuous Training,lifestyles,Type 2,[200643] Bacteroidia (0.0135),[1485] Clostridium (-0.0135),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon,diets,Type 2,[909929] Selenomonadales (0.0111),[186802] Eubacteriales (-0.0111),[171549] Bacteroidales (-0.0111),,,,,,,,,,,,,,,,,,,,,,,,,,,
Moderate Intensity Exercise,lifestyles,Type 2,[853] Faecalibacterium prausnitzii (0.0063),[301301] Roseburia hominis (0.0063),[Probiotic] Akkermansia muciniphila (0.0063),,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink Lady Apple,diets,Type 2,[200643] Bacteroidia (-0.0204),[201174] Actinomycetota (0.0204),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitamin D,diets,Type 2,[1239] Bacillota (0.2244),[572511] Blautia (-0.1389),[244127] Anaerotruncus (-0.1265),[119852] Oscillospira (-0.1184),[200643] Bacteroidia (0.1155),[201174] Actinomycetota (0.1077),[29465] Veillonella (-0.1019),[1279] Staphylococcus (0.1018),[1224] Pseudomonadota (0.0912),[724] Haemophilus (-0.0795),[838] Prevotella (0.0582),[906] Megasphaera (0.0573),[816] Bacteroides (0.0376),[35517] [Eubacterium] brachy (-0.0359),[33968] Leuconostoc pseudomesenteroides (0.0359),[310298] Phocaeicola coprocola (-0.0359),[84107] Coriobacteriaceae (0.0325),[410072] Coprococcus comes (0.0325),[Probiotic] Streptococcus salivarius (0.0325),[Probiotic] Bifidobacterium longum (0.0325),[88431] Dorea longicatena (0.0325),[194924] Desulfovibrionaceae (-0.0325),[815] Bacteroidaceae (0.0265),[239759] Alistipes (0.0244),[1357] Lactococcus (0.0224),[33024] Phascolarctobacterium (0.0223),[283168] Odoribacter (-0.0214),[375288] Parabacteroides (0.0213),[128827] Erysipelotrichaceae (-0.019),[853] Faecalibacterium prausnitzii (0.0179)
Probiotics Containing _Levilactobacillus Brevis_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manganese,diets,Type 2,[200643] Bacteroidia (0.0107),[1239] Bacillota (0.0107),[95818] Candidatus Saccharibacteria (0.0107),[1117] Cyanobacteriota (-0.0107),[201174] Actinomycetota (0.0107),,,,,,,,,,,,,,,,,,,,,,,,,
Beta-Glucan Supplementation,diets,Type 2,[1678] Bifidobacterium (-0.0072),[853] Faecalibacterium prausnitzii (0.0072),[186802] Eubacteriales (-0.0035),[74426] Collinsella aerofaciens (-0.0035),[39491] Agathobacter rectalis (0.0035),[1535] [Clostridium] leptum (-0.0035),[394340] Adlercreutzia equolifaciens subsp. celatus (-0.0035),[84999] Coriobacteriales (-0.0035),,,,,,,,,,,,,,,,,,,,,,
Biscuits,diets,Type 2,[216851] Faecalibacterium (0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spices And Herbs,diets,Type 2,[816] Bacteroides (0.0204),[1694] Bifidobacterium pseudolongum (0.0204),[572511] Blautia (0.0204),[1301] Streptococcus (0.0204),[729] Haemophilus parainfluenzae (0.0204),[33035] Blautia producta (-0.0204),[1485] Clostridium (-0.0204),[189330] Dorea (0.0204),[40544] Sutterella (-0.0204),[31979] Clostridiaceae (0.0204),[186803] Lachnospiraceae (-0.0204),[1263] Ruminococcus (0.0204),[31971] Amedibacillus dolichus (0.0204),[119852] Oscillospira (-0.0204),[28111] Bacteroides eggerthii (0.0204),[28211] Alphaproteobacteria (0.0204),[1578] Lactobacillus (0.0204),[906] Megasphaera (0.0204),[817] Bacteroides fragilis (0.0204),[Probiotic] Bifidobacterium animalis (0.0204),,,,,,,,,,
Whole Grain Wheat,diets,Type 2,[216572] Oscillospiraceae (0.0072),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fermented Foods,diets,Type 2,[853] Faecalibacterium prausnitzii (0.1665),[201174] Actinomycetota (0.0885),[816] Bacteroides (0.0591),[838] Prevotella (0.0591),[820] Bacteroides uniformis (0.0434),[1678] Bifidobacterium (0.0434),[28050] Lachnospira (0.0409),[Probiotic] Bifidobacterium animalis (0.0296),[Probiotic] Streptococcus thermophilus (0.0296),[186803] Lachnospiraceae (0.0284),[186802] Eubacteriales (0.0273),[222] Achromobacter (0.0273),[543] Enterobacteriaceae (0.0273),[286] Pseudomonas (0.0273),[119852] Oscillospira (0.0273),[28117] Alistipes putredinis (0.0273),[80865] Delftia (0.0273),[1531] Enterocloster clostridioformis (0.0273),[1654] Actinomyces (0.0273),[78345] Bifidobacterium merycicum (0.0206),[33905] Bifidobacterium thermophilum (0.0206),[33040] Streptococcus milleri (0.0206),[31953] Bifidobacteriaceae (0.0206),[1694] Bifidobacterium pseudolongum (0.0206),[1300] Streptococcaceae (0.0206),[1692] Bifidobacterium magnum (0.0206),[39948] Dialister (-0.0205),[84108] Slackia (0.0205),[1348911] Coprobacter (-0.0205),[841] Roseburia (-0.0205)
Chitin-Glucan,diets,Type 2,[216572] Oscillospiraceae (0.0102),[1752188] unclassified Actinomycetota (0.0102),[1228827] Influenza A virus) (0.0102),[39496] Eubacterium ventriosum (0.0102),,,,,,,,,,,,,,,,,,,,,,,,,,
Prune,diets,Type 2,[1678] Bifidobacterium (0.0224),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low-Carbohydate Diet,diets,Type 2,[1730] Eubacterium (0.0205),[1263] Ruminococcus (0.0205),[841] Roseburia (0.0205),,,,,,,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Leuconostoc Mesenteroides_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fermented Kimchi,diets,Type 2,[1224] Pseudomonadota (0.0157),[572511] Blautia (-0.0157),[201174] Actinomycetota (0.0157),[838] Prevotella (0.0157),[816] Bacteroides (0.0157),,,,,,,,,,,,,,,,,,,,,,,,,
Resistant Starch Type 4 Supplementation,diets,Type 2,[1239] Bacillota (-0.0063),[823] Parabacteroides distasonis (0.0063),[1680] Bifidobacterium adolescentis (0.0063),[216572] Oscillospiraceae (-0.0063),[1678] Bifidobacterium (0.0063),[201174] Actinomycetota (0.0063),[200643] Bacteroidia (0.0063),[375288] Parabacteroides (0.0063),[189330] Dorea (-0.0063),[1531] Enterocloster clostridioformis (0.0063),[216851] Faecalibacterium (-0.0063),,,,,,,,,,,,,,,,,,,
Phosphorus,diets,Type 2,[1224] Pseudomonadota (0.1125),[1117] Cyanobacteriota (0.0107),[200643] Bacteroidia (-0.0107),[201174] Actinomycetota (0.0107),[1239] Bacillota (0.0107),[95818] Candidatus Saccharibacteria (0.0107),,,,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Lacticaseibacillus Rhamnosus Gg_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion,diets,Type 2,[244127] Anaerotruncus (-0.0097),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low-FODMAP Diet,diets,Type 2,[201174] Actinomycetota (0.2724),[1678] Bifidobacterium (-0.1731),[836] Porphyromonas (0.1475),[31957] Propionibacteriaceae (-0.1475),[186802] Eubacteriales (0.1475),[543314] Eubacteriales Family XIII. Incertae Sedis (0.1475),[1239] Bacillota (0.1475),[33038] Mediterraneibacter gnavus (-0.1475),[Probiotic] Akkermansia muciniphila (-0.1475),[Probiotic] Bifidobacterium longum (-0.0661),[1680] Bifidobacterium adolescentis (-0.0661),[35833] Bilophila wadsworthia (0.066),[853] Faecalibacterium prausnitzii (-0.0572),[816] Bacteroides (0.0312),[31953] Bifidobacteriaceae (-0.0223),[815] Bacteroidaceae (-0.0223),[186803] Lachnospiraceae (0.0223),[216572] Oscillospiraceae (0.0089),[1505652] Terrisporobacter (0.0),[265975] Oribacterium (0.0),[1228827] Influenza A virus) (0.0),[570] Klebsiella (-0.0),[1481960] Peptoclostridium (0.0),[204441] Rhodospirillales (-0.0),[906] Megasphaera (-0.0),[1649459] Hungatella (0.0),[1350] Enterococcus (-0.0),[200643] Bacteroidia (0.0),,
Whole Grain Diet,diets,Type 2,[165179] Segatella copri (0.1476),[818] Bacteroides thetaiotaomicron (-0.1476),[186802] Eubacteriales (0.1476),[853] Faecalibacterium prausnitzii (0.1476),,,,,,,,,,,,,,,,,,,,,,,,,,
1-Kestose,diets,Type 2,[906] Megasphaera (0.0205),[1578] Lactobacillus (0.0205),[1301] Streptococcus (-0.0205),[1678] Bifidobacterium (0.0205),[990719] Christensenellaceae (-0.0205),[191303] Turicibacter (-0.0205),[33038] Mediterraneibacter gnavus (-0.0205),,,,,,,,,,,,,,,,,,,,,,,
Tritordeum Bread,diets,Type 2,[216851] Faecalibacterium (0.01),[438033] Ruminococcus gauvreauii (0.01),[1506553] Lachnoclostridium (0.01),[39497] Eubacterium xylanophilum (0.01),[877420] Lachnospiraceae bacterium NK4A136 (0.01),[841] Roseburia (0.01),[816] Bacteroides (0.01),,,,,,,,,,,,,,,,,,,,,,,
Maltodextrin,diets,Type 2,[292632] Subdoligranulum (-0.0111),[838] Prevotella (0.0111),[239759] Alistipes (0.0111),[128827] Erysipelotrichaceae (-0.0111),[239934] Akkermansia (-0.0111),[816] Bacteroides (0.0111),[216572] Oscillospiraceae (-0.0048),,,,,,,,,,,,,,,,,,,,,,,
Vitamin B2 Supplementation,diets,Type 2,[31977] Veillonellaceae (-0.0325),[1485] Clostridium (0.0325),[31979] Clostridiaceae (0.0325),[853] Faecalibacterium prausnitzii (-0.0325),[216851] Faecalibacterium (-0.0325),[328814] Alistipes shahii (0.0325),[39488] Anaerobutyricum hallii (-0.0325),,,,,,,,,,,,,,,,,,,,,,,
Cara Cara Orange Juice,diets,Type 2,[1737406] Tissierellaceae (0.015),[283168] Odoribacter (-0.015),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proinflammatory Diet,diets,Type 2,[357276] Phocaeicola dorei (-0.0227),[818] Bacteroides thetaiotaomicron (0.0227),[292800] Flavonifractor plautii (-0.0227),[562] Escherichia coli (0.0227),[582] Morganella morganii (0.0227),[39488] Anaerobutyricum hallii (-0.0227),[946234] Flavonifractor (0.0173),[1506577] Tyzzerella (0.0173),[33038] Mediterraneibacter gnavus (0.0173),[203490] Fusobacteriia (0.0173),[39497] Eubacterium xylanophilum (0.0173),[1506553] Lachnoclostridium (0.0173),,,,,,,,,,,,,,,,,,
Herbal Supplementation,diets,Type 2,[40544] Sutterella (-0.0002),[572511] Blautia (-0.0002),[33042] Coprococcus (0.0002),,,,,,,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Lacticaseibacillus Casei_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aronia,diets,Type 2,[816] Bacteroides (0.0161),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dietary Fiber,diets,Type 2,[40544] Sutterella (0.1018),[1766253] Agathobacter (0.0325),[1678] Bifidobacterium (0.0205),[201174] Actinomycetota (0.0205),[189330] Dorea (-0.0111),[74426] Collinsella aerofaciens (-0.0103),[35493] Streptophyta (0.0103),[515620] [Eubacterium] eligens ATCC 27750 (0.0103),[46506] Bacteroides stercoris (-0.0103),[301301] Roseburia hominis (0.0103),[216851] Faecalibacterium (-0.0063),[572511] Blautia (-0.0049),[1924081] Bariatricus (0.0001),[1005355] Fulvoscirtes manyara (0.0001),[1263] Ruminococcus (0.0),[186802] Eubacteriales (0.0),,,,,,,,,,,,,,
Probiotics Containing _Streptococcus Thermophilus_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitamin B6,diets,Type 2,[946234] Flavonifractor (-0.0663),[33039] [Ruminococcus] torques (-0.0663),[169435] Anaerotruncus colihominis (-0.0663),[1550024] Ruthenibacterium lactatiformans (-0.0663),[333367] Enterocloster asparagiformis (-0.0663),[154046] Hungatella hathewayi (-0.0663),[1945593] Oscillibacter sp. (-0.0663),[78346] Bifidobacterium ruminantium (0.0663),[538999] Eubacteriales incertae sedis (-0.0663),[200643] Bacteroidia (-0.0179),[1239] Bacillota (0.0133),[95818] Candidatus Saccharibacteria (0.0107),[1224] Pseudomonadota (0.0107),[1117] Cyanobacteriota (0.0107),[201174] Actinomycetota (0.0107),[39948] Dialister (-0.0072),[39488] Anaerobutyricum hallii (-0.0041),,,,,,,,,,,,,
Mediterranean Diet,diets,Type 1,[165179] Segatella copri (-0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Lactococcus Plantarum_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phytates,diets,Type 2,[1263] Ruminococcus (0.0),[186802] Eubacteriales (0.0),[216851] Faecalibacterium (0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrus Fruit,diets,Type 2,[61171] Holdemania filiformis (-0.0103),[40545] Sutterella wadsworthensis (0.0103),[46506] Bacteroides stercoris (-0.0103),[1653434] Sellimonas intestinalis (-0.0103),[853] Faecalibacterium prausnitzii (0.0103),[301301] Roseburia hominis (0.0103),[160404] Anaerotignum lactatifermentans (-0.0103),[515620] [Eubacterium] eligens ATCC 27750 (0.0103),[35493] Streptophyta (0.0103),,,,,,,,,,,,,,,,,,,,,
Vitamin B5,diets,Type 2,[1239] Bacillota (0.0107),[200643] Bacteroidia (-0.0107),[95818] Candidatus Saccharibacteria (0.0107),[1117] Cyanobacteriota (-0.0107),[201174] Actinomycetota (0.0107),[1224] Pseudomonadota (0.0107),[39948] Dialister (0.0072),,,,,,,,,,,,,,,,,,,,,,,
Meat,diets,Type 2,[572511] Blautia (-0.0167),[418240] Blautia wexlerae (-0.0167),[28052] Lachnospira pectinoschiza (0.0103),[35493] Streptophyta (0.0103),[515620] [Eubacterium] eligens ATCC 27750 (0.0103),[1263] Ruminococcus (0.0),,,,,,,,,,,,,,,,,,,,,,,,
Tapioca,diets,Type 2,[1924109] Eisenbergiella sp. (0.0),[853] Faecalibacterium prausnitzii (0.0),[47246] [Clostridium] viride (-0.0),[1869337] Parabacteroides sp. (0.0),[823] Parabacteroides distasonis (0.0),[39488] Anaerobutyricum hallii (-0.0),[171551] Porphyromonadaceae (0.0),[216572] Oscillospiraceae (-0.0),[375288] Parabacteroides (0.0),,,,,,,,,,,,,,,,,,,,,
Vegan Diet,diets,Type 2,[853] Faecalibacterium prausnitzii (0.0206),[39948] Dialister (0.0113),[572511] Blautia (0.0113),[1678] Bifidobacterium (-0.0113),[189330] Dorea (0.0113),[33024] Phascolarctobacterium (0.0113),[239934] Akkermansia (-0.0113),[841] Roseburia (-0.0113),[239759] Alistipes (0.0113),[1485] Clostridium (-0.0113),,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Bifidobacterium Bifidum_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pectin,diets,Type 2,[28216] Betaproteobacteria (-0.0087),[191303] Turicibacter (0.0087),[1263] Ruminococcus (0.0087),[909930] Acidaminococcaceae (0.0087),[40544] Sutterella (-0.0087),[33958] Lactobacillaceae (-0.0087),[506] Alcaligenaceae (0.0087),[1485] Clostridium (-0.0001),[1678] Bifidobacterium (0.0001),[1578] Lactobacillus (0.0001),,,,,,,,,,,,,,,,,,,,
Bean Products,diets,Type 2,[397864] Barnesiella (-0.0036),[216851] Faecalibacterium (-0.0036),[1283313] Alloprevotella (-0.0036),,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitamin C Supplementation,diets,Type 2,[1898203] Lachnospiraceae bacterium (-0.0325),[186803] Lachnospiraceae (0.03),[745368] Gemmiger formicilis (-0.0269),[200643] Bacteroidia (-0.0269),[1350] Enterococcus (-0.0269),[31953] Bifidobacteriaceae (0.0031),[1680] Bifidobacterium adolescentis (0.0031),[487174] Barnesiella intestinihominis (0.0031),[74426] Collinsella aerofaciens (0.0031),[816] Bacteroides (-0.0),[1239] Bacillota (0.0),,,,,,,,,,,,,,,,,,,
